Level,State,Year,Population,Index,Violent,Property,Murder,Rape,Robbery,assault,Burglary,Larceny Theft,CarTheft
1,AK,2000 ,626932 ,26641 ,3554 ,23087 ,27 ,497 ,490 ,2540 ,3899 ,16838 ,2350 
1,AK,2001 ,633630 ,26895 ,3735 ,23160 ,39 ,501 ,514 ,2681.00,3847 ,16695 ,2618.00
1,AK,2002 ,641482 ,28133.00,4015 ,24118 ,33 ,511 ,489 ,2594 ,3908 ,17739 ,2471 
1,AK,2003 ,648280 ,28263.00,3877 ,24386 ,39 ,605 ,446 ,2787 ,3874 ,18051 ,2461 
1,AK,2004 ,657755 ,26331 ,4159 ,22172 ,37.00,558 ,447 ,3117 ,3773 ,16159 ,2240 
1,AK,2005.00,663253.00,28170.00,4194.00,23975.00,32.00,538.00,537.00,3087.00,4131,17249.00,2595.00
1,AK,2006.00,670053.00,28765.00,4610.00,24155.00,36.00,509.00,605.00,3406.00,4136,17490.00,2529.00
1,AK,2007.00,683478.00,27617.00,4519.00,23098.00,44.00,529.00,583.00,3363.00,3682,16998.00,2418.00
1,AK,2008.00,688125.00,24576.00,4479.00,20097.00,27.00,445.00,644.00,3363.00,3232,15235.00,1630.00
1,AK,2009.00,698473.00,24952.00,4424.00,20538.00,22.00,513.00,654.00,3235.00,3600,15251.00,1687.00
1,AK,2010.00,714146.00,24796.00,4537.00,20259.00,31.00,533.00,594.00,3379.00,3105,15535.00,1619.00
1,AK,2011.00,723860.00,23510.00,4416.00,19094.00,30.00,436.00,576.00,3374.00,2852,14854.00,1388.00
1,AK,2012.00,730307.00,24449.00,4412.00,20037.00,30.00,583.00,630.00,3169.00,2950,15565.00,1522.00
1,AK,2013.00,737259.00,25920.00,4709.00,21211.00,34.00,657.00,623.00,3127.00,2917,16599.00,1695.00
1,AK,2014.00,737046.00,25018.00,4684.00,20334.00,41.00,553.00,629.00,3243.00,3150,15445.00,1739.00
1,AK,2015.00,737709.00,26197.00,5391.00,20806.00,59.00,648.00,761.00,3671.00,3511,15249.00,2046.00
1,AK,2016.00,741522.00,30842.00,5966.00,24876.00,52.00,1053.00,850.00,4011.00,4053,17766.00,3057.00
1,AK,2017.00,739795.00,32337.00,6133.00,26204.00,62.00,863.00,951.00,4257.00,4171,17775.00,4258.00
1,AK,2018.00,735139.00,30900.00,6555.00,24345.00,47.00,1212.00,896.00,4400.00,3985,16364.00,3996.00
1,AK,2019.00,731545.00,27637.00,6343.00,21294.00,69.00,1088.00,826.00,4360.00,3563,15114.00,2617.00
5,AL,2000 ,4447100 ,202159 ,21620 ,180539 ,329 ,1482 ,5702 ,14107 ,40331 ,127399 ,12809.00
5,AL,2001 ,4468912 ,192835 ,19582 ,173253 ,379 ,1369 ,5584 ,12250 ,40642 ,119992 ,12619.00
5,AL,2002 ,4478869 ,200331.00,19931 ,180400 ,303 ,1664 ,5962 ,12002 ,42578 ,123932 ,13890 
5,AL,2003 ,4503726 ,201572 ,19331 ,182241 ,299 ,1656 ,6038 ,11338 ,43245 ,124039 ,14957.00
5,AL,2004 ,4525375 ,201664 ,19324 ,182340 ,254 ,1742 ,6042 ,11286 ,44666 ,123650 ,14024.00
5,AL,2005 ,4548327.00,197071.00,19678 ,177393.00,374.00,1564.00,6447.00,11293.00,43473,120780.00,13140.00
5,AL,2006 ,4599030.00,200578.00,19557 ,181021.00,382.00,1649.00,7059.00,10467.00,44571,121610.00,14840.00
5,AL,2007.00,4627851.00,204530.00,20732 ,183798.00,412.00,1545.00,7398.00,11377.00,45331,124237.00,14230.00
5,AL,2008.00,4677464.00,211401.00,21109 ,190292.00,357.00,1618.00,7344.00,11790.00,50379,126461.00,13452.00
5,AL,2009.00,4708708.00,199201.00,21194.00,178007.00,322.00,1504.00,6265.00,13103.00,48844,118072.00,11091.00
5,AL,2010.00,4785401.00,187191.00,18363.00,168828.00,275.00,1355.00,4864.00,11869.00,42484,115564.00,10780.00
5,AL,2011.00,4803689.00,193358.00,20166.00,173192.00,299.00,1370.00,4906.00,13591.00,51119,111411.00,10662.00
5,AL,2012.00,4817528.00,190571.00,21693.00,168878.00,342.00,1296.00,5020.00,15035.00,47481,111523.00,9874.00
5,AL,2013.00,4833996.00,182669.00,20834.00,161835.00,346.00,1449.00,4645.00,13788.00,42410,108862.00,10563.00
5,AL,2014.00,4846411.00,174814.00,20727.00,154087.00,276.00,1425.00,4702.00,13744.00,39723,104223.00,10141.00
5,AL,2015.00,4853875.00,167742.00,22957.00,144785.00,348.00,1449.00,4612.00,15960.00,35265,99182.00,10338.00
5,AL,2016.00,4860545.00,169137.00,25878.00,143259.00,407.00,1915.00,4687.00,18869.00,34045,97498.00,11716.00
5,AL,2017.00,4875120.00,169243.00,25469.00,143774.00,419.00,2001.00,4233.00,18816.00,31270,99707.00,12797.00
5,AL,2018.00,4887681.00,164269.00,25567.00,138702.00,383.00,2032.00,4047.00,19105.00,29101,96328.00,13273.00
5,AL,2019.00,4903185.00,156179.00,25046.00,131133.00,358.00,2068.00,3941.00,18679.00,26079,92477.00,12577.00
